zone,state,city,name,type,time_needed_to_visit_in_hrs,google_review_rating,entrance_fee_in_inr,airport_with_50km_radius,weekly_off,significance,dslr_allowed,number_of_google_review_in_lakhs,best_time_to_visit,time_needed_hrs,duration_bucket,entrance_fee,budget_bucket,sentiment_score,review_count,sample_reviews
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1.0,4.6,500,Yes,,Historical,Yes,0.34,All,1.0,Short,500,Low,0.9518,6,"allways goods great stay grand stanford, rooms excellent location brilliant, close nathan rd little ... || great, chose hotel short weekend london late friday night til early sunday morning, got good rate st..."
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,3.0,Short,50,Low,0.9127,9,"great style comfort location room great needed beds not cramped, yeah, staff great location excellen... || loved duquesne, husband stayed duquesne eiffel week early 2008. great location reasonably priced 7th..."
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,2.0,4.8,0,Yes,,Religious,No,1.05,All,2.0,Short,0,Free,0.899,9,"nothing special wife 10 year old daughter just returned days sf staying francisco bay inn, selected ... || beautiful museum hotel rare precious treat stay splendid palace, stayed 3 nights beatrice suite styl..."
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1.0,4.7,0,Yes,,Religious,No,0.33,All,1.0,Short,0,Free,0.7476,7,"handy subway quiet area ideally located road literally, hanzomon subway station hanzomon line, hotel... || great hotel dont drink bottled water, modern funky hotel located 5 minutes walk away las ramblas gre..."
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,2.0,4.4,0,Yes,,Religious,No,0.16,All,2.0,Short,0,Free,0.9459,8,"not bad, stayed pickwick september 2002 just alright, rooms reasonable, advised not use restaurant s... || perfect essence festival, attending essence festival majority events walking distance, enjoy festivi..."
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,2.0,4.3,0,Yes,,Recreational,Yes,0.05,Evening,2.0,Short,0,Free,0.9859,6,"great hotel lovely hotel situated hong kong island, great views harbour mountainside.everyone accomo... || ignore negative reviews, stay catalonia bavaro resort amazing, moment checked treated like royalty, ..."
Western,Maharastra,Mumbai,Essel World,Amusement Park,5.0,4.3,1149,Yes,,Recreational,Yes,0.27,All,5.0,Short,1149,High,0.9736,8,"fantastic hotel stayed hotel 3 nights small children hotel just superb, great location magnificent v... || fabulous just wonderfulswift check 3am, upgraded suite arrival beautifully appointed like rest hotel..."
Western,Maharastra,Mumbai,Elephanta Caves,Monument,4.0,4.3,550,Yes,,Historical,Yes,0.35,All ,4.0,Short,550,High,0.9607,6,"enjoyed took vaction, time punta cana.it package apple vacations booked line airline champion charte... || excellent hotel agree previous reviewers, location slightly town shuttle service good ferry terminal..."
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,5.0,Short,1149,High,0.6658,4,"unhappy not say pay little extra stay coloinal magestic april 2007 disappointed help useless way tnt... || diarrhea punta cana bring diarrhea medicine best, people hospital hotel did not care, violently ill ..."
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,2.0,Short,500,Low,0.9641,6,"great hotel stayed standard room clean quiet comfortable.hotel amenities excellent.staff friendly.re... || great hotel casino san juan marriott excellent vacation spot, researched numerous hotels san juan ar..."
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,1.5,Short,20,Low,0.8995,9,"ca n't beat, family run hotel gem great place stay kids, perfect location spotless rooms wonderful b... || not 3 star maybe 1 star say location wise good hotel wise terrible, plus free water beer breakfast n..."
Southern,Karnataka,Bangalore,Cubbon Park,Park,1.0,4.4,0,Yes,,Nature,Yes,1.32,Morning,1.0,Short,0,Free,0.9742,8,"hope come chose hotel based location reviews tripadvisor say written upsides hotel true, lovely staf... || great location clean cheap, stayed nishi shinjuku 4 nights summer bargain price really not fault it...."
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,0.5,4.6,0,Yes,,Architectural,No,0.8,Morning,0.5,Short,0,Free,0.5763,5,"conveniently located, feel bit mean giving 2 rating quite disappointed, room building street houses,... || faultless good value v. central location immaculately kept modern hotel great location right heart g..."
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1.0,4.6,0,Yes,,Religious,Yes,1.14,Evening,1.0,Short,0,Free,0.9822,5,"excellent hotel wonderful location pleased booked hotel, wife arrived saturday evening met extremely... || great condo, just arrived home real vacation, proptery just wonderful, stayed 5 nights, eddy gregg d..."
Southern,Telangana,Hyderabad,Charminar,Landmark,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,1.0,Short,25,Low,0.9824,8,"great staff location great fun reacquainted dewey decimal room, stayed times different room, room sp... || good value great bed terrific staff booked affinia 50 result glowing reviews website, not disappoint..."
Southern,Telangana,Hyderabad,Golconda Fort,Fort,2.0,4.4,30,Yes,,Historical,Yes,1.2,Morning,2.0,Short,30,Low,0.9794,8,"best hotel nola booked hotel based recommendations trip advisor twice, hotel great not better locati... || great stay stayed 3 nights mid april 1st anniversary, great location short walk union square china t..."
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1.0,4.3,0,Yes,,Scenic,Yes,0.5,Evening,1.0,Short,0,Free,0.9788,5,"love artemis hotel february went 4 days amsterdam stayed artemis hotel great experience, airport too... || blast, just got week breezes punta cana, wonderful time, came lovely, pool trapeze beach restaurants..."
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,4.0,4.4,1150,Yes,,Entertainment,Yes,0.45,All,4.0,Short,1150,High,0.7798,8,"treated like royalty proposed girlfriend ritz carlton couple weeks ago, booked park view room worked... || honeymoon hiix just returned wonderful holiday hix island house, given warm welcolme managers diane ..."
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,2.0,4.4,20,Yes,,Historical,Yes,0.67,All,2.0,Short,20,Low,0.9469,5,"fine choice seatac lobby attractive bit small noisy, room newly redecorated/remodeled, not big comfo... || hotel qt worked husband visited nyc end june 15 year old daughter, stayed unique room king size bed ..."
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1.0,4.4,25,Yes,,Historical,Yes,0.2,Morning,1.0,Short,25,Low,0.198,6,"great stay breakers breakers reminds 2-star european hotel clean rooms great service maybe bit older... || great hotel night stay sheraton san juan, wonderful looking hotel outside nice little patio drinks d..."
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1.0,4.7,0,Yes,,Religious,No,0.41,All,1.0,Short,0,Free,0.9822,9,"comfort hilton paris stayed hilton arc triomphe 5 days nice, room compfortable clean, staff efficien... || highly recommended quality small boutique hotel excellent location, 2 min walk oxford st marble arch..."
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,1.5,Short,80,Low,0.5667,6,french quarter gem tim miss d staff place d'armes thank gracious southern hospitality recent short s... || great place stay traveled extensively highly recommend casablanca.although feel room cost high excel...
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,3.0,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,3.0,Short,50,Low,0.9204,5,"beautiful resort travel consultant booking hotel times really wanted stacked inclusives, pleasantly ... || quiet mellow boutique hotel excellent, moment walk inside hotel greeted friendly hello, men working ..."
Southern,Telangana,Hyderabad,Lumbini Park,Park,1.0,4.1,20,Yes,,Recreational,Yes,0.73,Evening,1.0,Short,20,Low,0.8365,3,"good time ocean blue, flew baltimore usa 3000 monday 6 vacation ocean blue 31st, flight trip airport... || absolutely splendid overall nicest hotel stayed, hotel extremely clean, beds comfortable unlike hote..."
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,1.5,Short,30,Low,0.9629,6,"small comfortable hotel positioned florence charming comfortable hotel florence excellent deals book... || deserves no, 1 ritz carlton berlin deserves no.1 ranking berlin, hotels stayed manages right.the ent..."
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,0.5,Short,0,Free,0.5546,8,"business stay excellent hotel spotlessly clean efficient comfortable, breakfasts business lunch club... || disappointing stayed june having visited 5-6 years ago, meantime changed ownership gone downhill, ro..."
Eastern,West Bengal,Kolkata,Indian Museum,Museum,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,2.0,Short,50,Low,0.7539,9,"happy hotel langlois wife stayed hotel langlois sept 24th sept 29th 2005. did lot research tripadvis... || great- hotel koopermoolen 2 couples uk just recently returned stay hotel koopermoolen, stayed new ye..."
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1.0,4.7,0,Yes,,Religious,Yes,0.82,Morning,1.0,Short,0,Free,0.9719,4,"excellent value superb location booked hotel based solely reviews tripadvisor, say glad did, hotel n... || great experience just returned week week royal, terrific experience ca n't wait, garden view room hi..."
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1.0,4.4,0,Yes,,Religious,Yes,0.5,Morning,1.0,Short,0,Free,0.9728,10,"oasis times square spent 4 nights 5 days nyc trip, comming doors provided immediate cool quiet welco... || muse..nice teenage daughter recently spent 4 great days ny, reading numerous reviews decided stay mu..."
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,3.0,4.1,2500,Yes,,Sports,Yes,0.1,All,3.0,Short,2500,High,0.8744,4,good experience not singles young people 20 best girlfriend late 20 just got resort clearly families... || return visit gotten expensive tho returned weekend retremobile exhibitionrenovations completed excel...
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,2.0,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,2.0,Short,25,Low,0.7623,9,"african american sister went punta cana july 23 july 30 200 chicago apple vacations, chose time bett... || great location daughter booked hotel surprise birthday presentnever having amsterdam did not know ar..."
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,3.0,4.4,60,Yes,,Educational,Yes,0.88,All,3.0,Short,60,Low,0.3309,3,stolen cell closed suitcase stayed hotel 5 nights changed rooms 2 nights 3rd fllor room 3 tiny singl... || great art lovers stayed nights march 2007. hotel easy especially connexion taxi airport shared flat ...
Eastern,West Bengal,Kolkata,Belur Math,Site,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,1.5,Short,0,Free,0.8114,10,"best travelled new york second christmas row stayed, bit concerned live memory year time brought mum... || great value hotel stayed hotel varenne largely result reviews posted site add reviews accurate excel..."
Eastern,West Bengal,Kolkata,Marble Palace,Palace,1.0,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,1.0,Short,0,Free,0.8891,10,"ok not great let say weather fantastic resort beautiful place maintained, food hand definetely avera... || weddings rate 2 5 resort 4 5. recommend resort travelling family just wanting holiday punta cana, no..."
Southern,Goa,Goa,Calangute Beach,Beach,2.0,4.4,0,Yes,,Scenic,Yes,0.26,Evening,2.0,Short,0,Free,0.9831,8,"dont notice reviews, ca n't believe reviews just read, just returned mercure amsterdam april 04 fine... || good price/quality/location ratio stayed week 2008. great location just minutes walk tiananman squar..."
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1.0,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,1.0,Short,0,Free,0.7141,8,"great choice, husband stayed hotel orto medici nights italian vacation, loved hotel, staff helpful s... || great location good price overall excellent value picked hotel using tripadvisor not disappointed, g..."
Southern,Goa,Goa,Fort Aguada,Fort,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,1.5,Short,0,Free,0.9748,10,"no complaints no-frills clean modern comfortable hotel clearly designed business traveler male busin... || great service omni great price, paid average 180.00 night, 2 blocks beaten path nice safe area, grea..."
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,3.0,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,3.0,Short,500,Low,0.5153,8,"truly special place, ok pay nose stay does matter money__Ç_é_ worth, course not stayed number top-en... || tempur-pedic beds, minute literally driving past way hotel decided stay, great, staff extremely help..."
Southern,Goa,Goa,Anjuna Beach,Beach,2.0,4.4,0,Yes,,Scenic,Yes,0.18,Evening,2.0,Short,0,Free,0.7773,8,"loved place great base exploring area stayed group friends great customer service friendly staff nic... || good value location helpful staff stayed july 23-25 2006. good central location, room relatively new..."
Southern,Goa,Goa,Chapora Fort,Fort,1.0,4.2,0,Yes,,Historical,Yes,0.19,Evening,1.0,Short,0,Free,0.9689,7,"better expected, worried having amsterdam staying lowly rated hotel reviews travelers good, trust fe... || spoiled petite, wife returned second honeymoon weeks ago waited write review wonderful memories stay..."
Southern,Goa,Goa,Se Cathedral,Church,1.0,4.5,0,Yes,,Historical,Yes,0.05,Afternoon,1.0,Short,0,Free,0.9543,5,"service wanted meet friend hk dinner booked weekend peninsula table sat night felix contacting hotel... || great hotel lived great reviews loved hotel location, took 2 teenage boys really enjoyed stay, great..."
Southern,Goa,Goa,Baga Beach,Beach,2.0,4.5,0,Yes,,Scenic,Yes,0.35,Evening,2.0,Short,0,Free,0.5143,4,"great hotel, husband daughter stayed hotel sept 13-17 waterfront suite, 7th floor end floor, harbor ... || beautiful beach just returned week grand paradise, reading mixed reviews little scared going trust n..."
Southern,Goa,Goa,Arambol Beach,Beach,2.0,4.6,0,Yes,,Scenic,Yes,0.1,Evening,2.0,Short,0,Free,0.9298,3,"good choice tokyo spent nights park hotel girlfriend december 2005. pleased hotel, connection narita... || natura park resort spa best need tell wonderful natura park, boyfriend stayed 8 days early april 200..."
Southern,Goa,Goa,Palolem Beach,Beach,2.0,4.6,0,Yes,,Scenic,Yes,0.27,Evening,2.0,Short,0,Free,0.9755,4,"loved huntington recently stayed huntington hotel trip girlfriends, happily surprised quaint decor e... || just expected arrival parked hire car underground garage just press buzzer reception let, lift floor..."
Southern,Goa,Goa,Colva Beach,Beach,2.0,4.3,0,Yes,,Scenic,Yes,0.1,Evening,2.0,Short,0,Free,0.8354,10,"revolting warned, read postings abouot place bad ignored thinking posted people stayed seasons, thou... || lovely little hotel perfect location, just came short trip venice stayed ca dei dogi 2 nights, room ..."
Southern,Goa,Goa,Miramar Beach,Beach,1.5,4.2,0,Yes,,Scenic,Yes,0.3,Evening,1.5,Short,0,Free,0.9374,10,"great value, madrid 2 nights returning wanted central location got, cab dropped hotel really worried... || nice room good location great loaction 2 blocks plaza catalunya perfect sight seeing want near dont ..."
Southern,Goa,Goa,Aguada Beach,Beach,2.0,4.5,0,Yes,,Scenic,Yes,0.01,Evening,2.0,Short,0,Free,0.8293,8,"not business traveler place fine want beach steps away bed, 3 night minimum stayed 2 nights pay 3. r... || not bad, stayed nights husband mid october year.we originally booked stay agon frankfurter allee got..."
Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,2.0,3.9,10,Yes,,Wildlife,Yes,0.03,Afternoon,2.0,Short,10,Low,0.9613,5,"ok good base rooms comfortable fairly decent terms furniture size, dressing gowns slippers provided,... || beautiful location wedding went majestic colonial wedding march, actually hired photograph wedding, ..."
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1.5,4.6,0,Yes,,Historical,Yes,0.35,Morning,1.5,Short,0,Free,0.9555,4,"happy place just returned friend el convento hard year work, hotel absolutely beautiful liked not ch... || nice hotel girlfriend recently stayed short break barcelona, hotel excellent, check check prompt, re..."
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,2.0,4.7,0,No,,Religious,No,0.59,Evening,2.0,Short,0,Free,0.7914,9,"just like dumb blonde, wife stayed ocean royal service suite april 21 28th.the hotel facilities beau... || not bad good value money hotel good value money amenities needed bit far centre florence idealy suit..."
Western,Gujarat,Junagadh,Gir National Park,National Park,3.0,4.5,3500,No,,Wildlife,Yes,0.08,Morning,3.0,Short,3500,High,0.9516,7,"beautiful property amazing staff, stayed hotel august 7-11. time puerto rico, impressed friendliness... || lovely hotel, gran versalles lovely hotel just main road little traffic passing not noise deal spani..."
Western,Gujarat,Bhuj,White Desert,Site,2.5,4.6,0,Yes,,Nature,Yes,0.12,Evening,2.5,Short,0,Free,0.8684,10,"convenitent airport overpriced noisy room radisson convenient airport, desk staff clueless asked rec... || honeymoon hotel hotel absolute gem new york, wife started honeymoon ny hotel helped make trip perfec..."
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,2.0,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,2.0,Short,200,Low,0.7758,9,"save money, friend came resort week staff unfriendly not helpful, day room not cleaned approx, 6:30p... || beautiful hotel special location fantastic time barcelona hotel colon special base, lovely room hote..."
Western,Gujarat,Somnath,Somnath Temple,Temple,2.0,4.8,0,No,,Religious,No,0.39,Morning,2.0,Short,0,Free,0.9703,7,"family loved week iberostar family wife daughters age 20 17 stayed iberostar bavarro punta cana domi... || ok nothing, grossly overpriced, looked reception staff probably make 25 annual income judge book cov..."
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,3.0,4.9,7500,Yes,,Cultural,Yes,0.1,Evening,3.0,Short,7500,High,0.8933,6,"great place stay husband attended football game husky stadium weekend looked hotel close university ... || absolutely fantastic, amazing little, book random hotel online site unseen know going, time ended ge..."
Western,Gujarat,Kevadia,Statue of Unity,Monument,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,3.0,Short,350,Low,0.7366,5,"good hotel stayed weekend superior room 1st floor eiffel tower crooked heads trees, room not large n... || ruined romantic weekend planned romantic weekend dauphine orleans hotel wife birthday, just married ..."
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,1.5,4.5,0,No,,Historical,Yes,0.05,All,1.5,Short,0,Free,0.8148,10,"not beach lovers stayed resort nights june, husband 15 year old daughter.pros beautiful views areas ... || n't stay ritz carlton san juan hotel near airport really better business pleasure, rooms halls need ..."
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,1.0,4.6,0,Yes,,Recreational,Yes,0.1,Evening,1.0,Short,0,Free,0.5774,9,"superb hotel hotel ideally situated 02 arena just road london bridge station, recently refurbished h... || great experience average hotel party 10 great time average hotel presidents week feb 2007. accommoda..."
Western,Gujarat,Ahmedabad,Manek Chowk,Market,2.0,4.4,0,Yes,,Food,Yes,0.49,Night,2.0,Short,0,Free,0.9638,6,"amazing resort week march 3 march 10. amazing staff rooms service, beach perfect weather perfect, pe... || mil approved, basis agreeable price offered online hotel booking site strength positive comments for..."
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,3.0,4.5,10,Yes,,Recreational,Yes,0.3,Afternoon,3.0,Short,10,Low,0.8011,7,"just job just returned lad weekend berlin spent nights ibis, booked advance able shared double room ... || really liked firts let start saying extremely fussy comes hotels service certanily n't disappointed...."
Western,Gujarat,Ahmedabad,Science City,Science,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All,7.0,Medium,500,Low,0.6663,5,"not n't want good location pretty quiet canal generous breakfasts brought friendly hosts spacious hi... || impressive booked hotel singapore airlines stopover programme excellent value room, received voucher..."
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1.0,4.4,50,Yes,,Architectural,Yes,1.3,Morning,1.0,Short,50,Low,0.7661,9,"beautiful hotel elegance history experience smooth professional start finish, person booked room pho... || great value just returned b princess w/our family 4 2 adults 2 kids ages 5 10 april 30-may6th, fabul..."
Northern,Rajasthan,Udaipur,City Palace,Palace,2.0,4.4,300,Yes,,Historical,Yes,0.51,All,2.0,Short,300,Low,0.9465,3,"best hotels new orleans, excited rate received 60 night especially booked minute, hotel great locati... || nogo soho not kind person normally complains guys going make exception, treatment received hotel dis..."
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,2.5,4.4,50,No,,Historical,Yes,0.56,All,2.5,Short,50,Low,0.9765,6,"great location tourist spent nites hotel jazz disembarking cruise, arrived room not ready staff dire... || does n't stand detailed scrutiny stayed raffles previous occasions night time, wife looking forward ..."
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,3.0,4.6,500,No,,Wildlife,Yes,0.09,All,3.0,Short,500,Low,0.9278,3,"satisfied customer boston 5 days attend conference omni parker did n't make reservation time confere... || fairly priced hotel recently got long weekend amsterdam girlfriend 30yrs 26yrs, times generally stay..."
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1.5,4.4,0,No,,Religious,Yes,1.6,All,1.5,Short,0,Free,0.6861,6,"great oasis big city son stayed july 13 5 nights, loved hotel, contemporary hip comfortable, beaten ... || reasonable rooms not nice location wife stayed nights 2008. rooms ok money identified problems, firs..."
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1.0,4.6,0,Yes,,Religious,No,0.35,All,1.0,Short,0,Free,0.9382,6,loved lobby piano cold night time big room__s good heating keep__t friend hot night lobby great pi... || good hotel ideal location great staff wife just returned berlin stayed jolly hotel vivaldi nights ho...
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,2.0,4.6,100,Yes,,Historical,Yes,0.64,All,2.0,Short,100,Low,0.9893,5,"lovely room great location stayed 2004. lovely room spacious clean, location excellent 5 minutes dar... || nice holiday, arrived ifa bavaro village 9th evening, check quick escorted rooms-the resort pitch da..."
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,2.0,4.6,40,No,,Historical,Yes,1.9,All,2.0,Short,40,Low,0.9026,7,"deserves reviews stayed hotel weekend early february 2008. quite possibly best hotel stayed, not qui... || excellent resort just returned rio grande absolutely fantastic time, reviews website helped tremendo..."
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1.0,4.6,0,No,,Religious,No,0.05,All,1.0,Short,0,Free,0.9686,10,"nice little resort just returned week sunscape say reading reviews pleasantly surprised, titled nice... || great hotel nicest hotels stayed, room clean bed comfortable, bathroom larger hotel rooms stayed, st..."
